,raceId,dnf,overtakings,top5_battle,rvp,points
196,875,4,104,1.5735537190082645,13,5.16
197,856,3,133,4.737190082644624,6,6.92
198,841,9,120,6.572829964328179,17,6.75
199,854,4,164,15.14109110454177,4,6.39
200,858,4,132,2.5712396694214887,15,6.13
201,859,4,150,2.639158897044236,9,5.77
202,857,5,97,2.2797222222222233,4,5.56
203,848,0,132,1.995075407817791,3,3.87
204,350,4,61,3.8177287290850814,11,6.76
205,339,8,88,1.4467474489795913,18,6.68
206,348,5,62,1.9685714285714269,7,6.65
207,352,8,68,2.9134923460306155,10,6.64
208,355,4,89,22.16396694214875,6,6.6
209,354,1,123,9.930172584804613,13,6.25
210,342,12,84,4.812787639710727,7,6.22
211,345,3,78,2.1680517082179107,9,5.45
212,341,7,56,1.7803030303030312,11,4.92
213,337,9,74,3.835901707621822,20,4.59
214,347,5,79,3.275116952550673,6,3.74
215,9,2,155,22.933333333333344,13,7.1
216,13,5,82,8.524741901032396,13,7.05
217,10,4,108,8.432653061224487,9,6.81
218,3,4,173,10.205994897959183,14,6.69
219,4,1,122,7.1277316097260695,8,6.42
220,17,2,81,5.9305785123966945,8,5.79
221,8,2,102,6.795833333333334,6,5.76
222,15,3,89,6.371662513349946,11,5.58
223,6,6,86,4.749506903353055,13,5.5
224,11,2,88,5.435518621114191,10,5.34
225,14,6,84,11.4512227895727,11,5.34
226,5,6,73,7.8103764921946714,5,5.33
227,2,5,98,21.86888657648283,25,5.28
228,7,2,113,3.0707491082045175,8,5.28
229,22,3,101,4.426575505350779,4,6.82
230,33,5,108,14.688349298284697,12,6.66
231,32,6,117,52.65950013437248,14,6.3
232,28,3,98,13.595918367346933,18,6.2
233,19,5,103,8.900191326530607,15,5.74
234,25,1,105,9.123469387755097,8,5.55
235,20,3,96,4.776238842720838,12,5.36
236,21,9,97,4.8792470156106456,3,5.09
237,34,3,107,5.6249999999999964,6,4.47
238,29,3,77,2.3404124345952613,9,3.98
